hotel_name,rating,review_count,hotel_rank,amenities,languages,reviews,hotel_class,price,best_price_source,restraunts_nearby,attractions_nearby,good_for_walkers_out_of_100
Yotel Air Singapore Changi Airport,4.0,515 reviews,#111 of 369 hotels in Singapore,Free High Speed Internet (WiFi),"English, Chinese, Indonesian, Japanese","Share, ,Our room had a faulty air conditioner and we phoned the front desk and a friendly receptionist said that she will get another room ready for us. She even gave us late checkout to 2pm, free vouchers for jewel's shops and restaurants and tickets to the canopy bridge too! We were floored by her service!   Room's bathroom has excellent water pressure and soap smells so good!  We also loved how the tv has chrome cast so we can stream YouTube on it for some karaoke haha!  One downside was that the mattress was a little uncomfortable, it was a tad too soft for my liking.   Other than that, we absolutely loved our stay at yotel air! ,We stayed at Yotel after cycling via East Coast Park to Changi airport. Excellent and well priced accommodation located conveniently in Jewel at Changi airport. Although small, the room is very well designed and provided everything we needed for a short overnight stay,The coffee machine in the lounge provided an excellent cappuccino.,Well..theres not much to say. You paid for a room, and you get exactly that. The price was very affordable ($120/n) and the room was small yet cosy. The room was also very clean. The main selling point of this hotel is its location, located right within Jewel. Overall the stay exceeded my expectations.,Checking in is simple, i managed to get a room on the lobby floor so i really like that as there are rooms located on other levels (Lift required), so I have no qualms about it. It's cabin compact which is really comfortable for 1 pax. Bed is very large and cozy. TV is very wide too. Will recommend if you intend to explore Jewel on a short term trip. ,Amenities required for the entire is readily available. Service from the staff were great and they were quick to address issues that we highlighted and follow up to keep us updated. Room is definitely on the smaller side, might be hard to move around if you have big baggage or alot of stuff",,7156,Expedia,138,98,88
Hotel 1888 Collection,3.5,39 reviews,#119 of 372 Speciality lodging in Singapore,Free High Speed Internet (WiFi),,"Share, ,Hi, i had a 1 night stay from 23-24 November and i had an amazing stay there. We booked a family room that was able to accommodate up to 4 adults! We were greeted by the staff name Ben and i would like to thank him for compensating the late check in for us. Instead if 3pm, it had to be done at 4 pm due to some issue on the AC.  Ben was giving a very good service and would like to thank him for giving us such as amazing  experience for my friends and I  The room was amazing with the large bath tub and the projector, the bed was large and very clean. would definitely come back to this place again.  However, we were having some issues regarding the projector and the language was in Mandarin?  i think and we had a hard time trying to connect to the wifi, tho the wifi speed was not, that good.  Location wise was good, sitting in the heart of Chinatown.   I would like to leave a not for Ben for being so kind and accommodating to my friends and i!,…,stayed here for 1 night. woke up a few time as the aircon stopped by itself during the night. it was suppose to be a staycation to relax but in the end i felt so tired. on check out day, lights n aircon automatic off by itself a few times (almost once every hour) and i have to keep getting out of bed n switch it on. Gave my feedback to reception staff, they just apologise and that’s it. Do not feel any sincerity in his apology. Totally waste my $$... understand it’s 10m2 room but it’s too small even without luggage. but overall location is good. room is clean.,I thought i wont be staycationing anytime soon and able to squeese some time for one on a weekday Pretty basic amenities, minimalistic design, comfy bed and been a light sleeper sort of, been disturbed by next room talking or whatever happen.,Came back for another stay because I really enjoyed my previous one but it was a nightmare this time and will very well be my last. When I checked in in the afternoon, I informed the lady that if my friend were to come, I'd get him to check in as well since I was unsure at that point.  My friend only came at 11pm and a different staff at the front desk asked for my room number and said that because my friend was not registered, hence a visitor, should not be allowed in after 11pm. I might have missed out this rule, my bad. He graciously gave us 5 mins while we had a full takeaway meal in our hands. :-) He proceeded to ask for my friend's NRIC and asked to fill in the declaration form (the exact process as when I checked in earlier). So I casually asked, if he's not staying for, the night, he has to do this same process as well? The staff said yes, so we did accordingly. So I asked the staff again, since he already has his particulars taken and filled the form, can he stay later than the gracious 5mins he has given us? He said no. And I was just so bewildered. I asked him why he couldn't just check my friend into the system and he said because I didn't inform anyone (I did) and that I asked if my friend needs to have his particulars taken down if he's not staying - which he then accused me of ""keep changing my words"". He was so defensive throughout and not hearing me at all. I was not even trying to manipulate the system or rules.   I was genuinely curious and my point was, if he had already taken all the information he needed, couldn't he have just registered my friend into the system so my friend then has the option to choose if he wants to stay 5 mins, 3 hours or through the night? Rather than accusing me of ""changing my words"". He was not even listening to my theory and after a few exchanges with him raising his voice and being defensive, he reluctantly said he'll check my friend in then. This could have been solved way faster and easily in my opinion. I work in the hospitality sector and has had my fair share of work experience in hotels and this was just such a turn-off.   Everything else was great but too bad he made it such an unpleasant one.,…,Went there staycation alone in the hotel . Walked in the room just to find out the house keeping didn’t clean the area very well , Mr Yong sang kept on apologising on behalf , very attentive and honest reception I’ve met so far . The company should provide more training to the staff in order for them to be more aware of what’s happening . Thanks to Mr Yong sang for the outstanding and fast service recovery . Definitely a rescue if it’s not because of him I’d be leaving the reviews with 1 star .",,,,875,129,100
Grand Mercure Singapore Roxy,4.0,"5,578 reviews",#84 of 369 hotels in Singapore,Free parking,"English, Chinese, Malay","Share, ,We stayed at the Grand Mercure Roxy Park (as it's now called) for two nights in September 2004 and then again for one night in October.  We wanted a comfortable transit hotel to break the journey, with our two-year old, between New Zealand and Belgium.  The hotel is only a 10 minute shuttle drive from the airport (free shuttle!), has excellent facilities, is close to fantastic hawking areas for tasty laksas, and right across from the Parkway shopping mall, in walking distance from the East Coast Park.  Child-friendly (play room, kiddie pool), friendly staff, affordable room service, very spacious rooms, satisfactory pool area, an immaculate  guest self  service laundry (always keeping in mind that we're travelling with a two year old) -- transit heaven!  We will definitely stay, there again.  Please note that this may not be what you're looking for if you want the Orchard shopping experience, but for exhausted parents, en route half way the globe, it was a perfect place. ,…,This hotel is handy to the airport and has a hotel shuttle (free).  You just need  to go to the airport visitor information area and ask about it and they'll come and pick you up.  It's 10 minutes' drive from the terminal.  Having stayed previously closer to the town on the river, we thought we'd try this hotel and were not disappointed although if you want to go in to the city, you need to catch a bus nearby.  The beach is a short walk away and is lovely and quiet.  The shops seem to be mainly for the locals and we did not see any bargains here.    Buffet breakfast was $S36 each - more than adequate and most delicious.  Having stayed often in Accor's hotels, we have always been happy with them as we were with this one.  There are cheaper hotels in Singapore but,  like us, if, you just need to be handy to the airport and in a very spacious, comfortable hotel (with a bath), this could be for you.  The rack rate here is $S240 per room per night but you may get a better deal on the Net. ,…,This hotel is in between the airport and the city, about $15 by taxi but there is a free shuttle bus every 30 minutes if you let them know you are coming. This hotel is excellent value for money and an extensive breakfast is included. There is a pool and gym for guests to use, and many shops around the area including some in the hotel building. A big Mall linked by a walkway over the road from the hotel. I recommend the Chinese massage inside the hotel building, certainly revived my travel worn body after a fifteen and a half hour flight!!  The rooms were spacious and well appointed and very clean. Both our  ""non-smoking"" rooms smelled smoky and changing rooms was no problem.  I wish smokers would have a little more consideration, especially when most hotels have especially, allocated ""smoking"" rooms.  Towels are provided at the pool and you can have drinks or dinner at the bar beside the pool. Great pool-side barbeque available too, yummy! There was no internet access in our ""superior"" room, although the ""deluxe"" rooms had wireless access. We were able to use the hotel's ""business centre"" computer for $18 per hour. There is also a coin operated guest laundry which was greatly appreciated! (Pity more hotels don't offer this facility  instead of over priced in house services.)   We were able to stay in the hotel until 6pm on the day we left at no extra charge.   This was our last hotel before heading home to Australia after a five week holiday and countless hotels. It was a fitting end to a wonderful holiday and one of the best hotels we experienced all over the world. We wished we could've stayed longer than two nights!   Highly recommended! ,…,We stayed in 4 hotels in Singapore and Malaysia, all with 4 to 5 star ratings. All hotels except the Roxy had helpful enthuaistic staff and good food. All I can say about the Roxy was it was clean and handy to the airport. I waited for 20 mins to checkin and Reception was well staffed and not very busy. I was told a load of rubbish about problems with the room safe. For breakfast we were seated at a dirty table that was still in use by other guests (other guests were getting more breakfast). I asked for French Toast and was told unavailble except for special order to the Chef at additional cost ( all other hotels provided French Toast in Breakfast Buffet) Fruit juice glass had very sharp broken and chipped rim. Buffet food provided was no where near standard of food at other, hotels. ,…,I stayed at the Roxy for 1 week with my daughter (22). Check in was a breeze at 5.30 am in the morning after a very exhausting flight with Tiger Air, Our room was clean and comfortable with no complaints. Breakfast was fantastic with a large variety to choose from and a chef to cook your eggs just the way you want them. All the staff I dealt with were extremely helpful and courteous. I had read some previous reviews and was worried about booking at the Roxy but these were not experienced by me, I suppose you cant keep everyone happy all the time. The pool area was very inviting but we were too busy to use it as we were out and about most days. Even though this property is about 15 mins by cab to town, we did not feel deprived at all, the shopping centre opposite is massive and, by the end of our stay we still hadnt seen all the shops. The food court has heaps of variety, but our favorite was the hawker centre next to the shopping centre. My daughter had Yum cha every day from one of the traders it was about $7.00 and we could share that and have left overs. Each day we would buy a bubble tea with pearls for $1Au. We didnt use the cabs even though they were cheap we caught the bus opposite the hotel to Paya lebar MRT and from there we travelled all around singapore, including Changi Museum, a day trip to Malaysia, The battle Box and various shopping centres. Once we purchased our refundable MRT tickett there was no stopping us. I also borrowed the lonely planet guide from the local library in australia which was also helpful. At the end of the day it was nice to get back to the Roxy have a soak in the bath and fall into bed away from the hustle and bustle. Oh, that was after collecting a 1/2 price cake from the lobby as we went up to our room, yummy. The day of my birthday I returned to my room and there was a card from management and a cake with happy birthday written on the plate in pink chocolate, so nice. At the back of the hotel was an internet cafe I wish I had found on the first day it was extremely cheap and fast. The free shuttle to the airport was an added bonus which leaves every 1/2 hour, just be in the lobby 10 mins before. All in all a very enjoyable stay in Singapore and at the Grand mercure Roxy.,…","Mid-range,Family",9096,Agoda.com,220,16,94
Citadines Rochor Singapore,4.0,18 reviews,#224 of 369 hotels in Singapore,Free High Speed Internet (WiFi),"English, Chinese, Malay","Share, ,The rooms are okay and the kitchenette is fine but the service is horrible. Doing my SHN here and the staff and management know that you can't change hotels so they don't have to do anything to retain your business. Definitely one of the worst serviced hotels in Singapore I have ever stayed at. Definitely will not stay here ever again.,We are currently serving our SHN at this property and I must say that for the purpose it serves, it is quite good.  We have a kitchenette and washer/dryer which alone makes a big difference when you can’t leave the room.  The place is clean and the beds are comfy.  It’s not luxurious in any way but quite practical.  We had an issue with our shower not draining well and maintenance came and fixed it straight away.  The one big issue I have with this property is their service in terms of sending deliveries to our room.  For the last three days, I have had to call guest services to enquire about my delivery that had been dropped off at desk 15-20 mins prior.  In each case, they sent it up moments later but I should not have to call and follow up.  It is unacceptable that our food, takes about as long  to come from lobby to room than it takes to actually arrive to hotel in first place.  I asked to talk to a manager about this situation and have yet to hear from one.,…,Pros + Good location + Tekka market just opposite + Brand new with a mall right below the hotel + Cozy room and comfortable bed + Great sleep quality + Room just the right size + Induction cooker in the room + Laundrette + Nice swimming pool  Cons - Could hear next door guests talking - No in-house kitchen,Disappointed in the ascott property., Property was not in line with the ascott standard that we know and the place was bugs infested. Only good for location and unfortunately will not come back here again.,As an Ascott group member, there are decent expectations of an Ascott experience in all the properties in which I had once stayed (Ascott, Somerset, Citadines).  Citadines Rocher (recently opened in 2020) was one of my top choices in having a local staycation because of its location and price range.  However, it was an overall disappointing experience, and here’s why:  1. No daily housekeeping service  2. Our bathroom door could not close. It was completely off the ledge.  3. Reception is busy all the time. Phone calls are often not answered  4. This hotel was most probably a designated hotel used for both Malaysian citizens who were unable to return home due to locked borders, as well as returning Singaporeans to serve their mandatory 14-day Stay-Home Notice (SHN).   There were, confirmed COVID-19 cases within my period of stay. We were notified by a letter from the management. The least the management could do was to provide a mask or sanitizers to guests. We also chanced upon 2 medical workers fully donned in PPE escorted a guest to the ambulance. Scary stuff.  5. We took our own trash out of the room since day 1 of check-in. It was not cleared even upon checking out.  Dear Citadines Rocher, please review your services. I had absolute faith and would like to continue giving my support to Ascott despite this awful stay.,…",,,,257,53,100
Dusit Thani Laguna Singapore,4.5,322 reviews,#16 of 369 hotels in Singapore,Free parking,"English, Chinese, Malay, Thai","Share, ,TLDR: Decent stay but overall not quite value for money. At this price, you’d expect impressive service and fantastic facilities/in-room hardware but unfortunately the hotel fell short of the mark.  Room is clean and new, but nothing stands out. Generally good quality breakfast, kitchen staff were on the ball but wait staff were harried and could barely cope with drink orders and dish clearing. Service was prompt but impersonal - check in staff failed to share details on where I could utilize the inclusions of afternoon tea, welcome drink and breakfast in my package. Sure, I could use common sense to figure out that tea and breakfast were in Greenhouse but I wasn’t told that I had to show a voucher for welcome drinks and this voucher was not passed to me. Likewise, I wasn’t told, that my dining credit could only be used at Greenhouse - I had to separately check on this with the operator and figure out that I had to explicitly tell the staff at check out that I was using my credits at lunch immediately after returning my room so they don’t check me out of the system. These are not things that guests should be reasonably expected to know and staff should make the stay a seamless experience by volunteering this information.  Lastly and most appallingly, ice water was not served at tea and lunch. In fact, our request for tap water was outrightly rejected at lunch. Utterly ridiculous in this day and age.,…,My and my partner had our dinner at the Greenhouse cafe on the 14th January.. The restaurant environment is a wow factor. The lightings, artwork, spaciousness and upholstery are aesthetically well balanced and comfortable place to be in.   Food was enjoyable and arrived in prompt manner but nothing is as important as being given the attention by Haidar and colleague Sally.   Thank you team for the evening.,We were dining in the greenhouse on 14/01 and were impressed with the interior design when we arrived. Food was recommended by Alvin, to be honest, he made an exceptional recommendations, namely Pad Thai & Tom Yum Kung (authentic Thai flavor) which I enjoyed the most!  Some other dishes like pizza, tandoori chicken were nice too! Friday’s evening can’t be better with a happy tummy.  A part of the food, we do enjoyed the service provided by Haidar and Sally (hopefully I got her name right, she is wearing a jacket), their extraordinary services made our dining experience even more delighted. We were so pampered by the friendly and professional service provided by the team this evening.  Overall ambience in the restaurant was pleased and a Friday evening worth to spend on.,It was an amazing staycation at Dusit Thani! Fantastic service by Haziq and he even gave us the opportunity to a late check out. And, the breakfast spread is just all time favourite! I can eat there all day , that's how good the breakfast are! We even had the dine in steak and pizza, and we were so tempted to order them again cos they were so delicious!!!! All in all, we had a great time there! we'll definitely come back real soon!,Fantastic service right from before I checked in. I called up before check in for some assistance. The hotline staff then got someone to call me back promptly to address my request. During check in, even though the app check in was done,  the lady who checked me in on 9 Jan 2pm was extremely helpful and friendly. I must say, EVERY staff from housekeeping , concierge to gym/pool counter staff and staff Greenhouse, Legends Bar and Tee Deck are really friendly, attentive, and always serve with a smile.  I did have some issues with the room aircon which sort of turn off by itself even before it reaches a lot temperature.  Technician came to do some vacuuming twice over the two days and it did not resolve the issue. I gave up but at 4am on last day when my friend woke up for toilet, break and off/on aircon again, it miraculously got  this is just a small matter . Just want to share this so the hotel can perhaps do a thorough servicing of the patio pool facing twin room.   Your outstanding service , picturesque venue and the good food (Thai food was great!) is worth repeat visits.  Thank you to all the staff at Dusit Thani Laguna for making the birthday staycation an awesome experience,,…",,16063,Agoda.com,15,1,44
ST Signature Chinatown,4.5,42 reviews,#66 of 372 Speciality lodging in Singapore,Free High Speed Internet (WiFi),,"Share, ,Stayed here for around a month from May to June before moving to the US, affordable price and friendly staff. The bed is comfy but a bit small for me a 6'1 tall person. Pillows need a serious upgrade tho! It is quiet and other people in the hotel are very friendly and quiet too. The location is convenient and easy to go to anywhere on the island. It is on a bright and wide street across from the temple. I will recommend anyone who is on a budget. The downside is there is no washer and dryer and the kitchen is closed due to covid.,Great location in the central region of Singapore with convenient transportations and tons of eateries and malls nearby. The co-living spaces, e.g., kitchen and toilets are clean and well maintained. Highly recommended for solo travelers.,Stayed for over a month. It is clean and the staff are kindly and helpful. The location is excellent and within working distance to the marina bay area. It is easy to find lots of delicious food nearby. Last but not least, affordable price!,Great place to stay, facilities provided are good and the room is clean and well maintained. Good price if you are on a budget and looking for a somewhere comfortable to stay at. Would definitely come back next time.,Good location and clean rooms as well as very cool bathrooms.But the doors are too close to each other so when someone knocks on the neighbor's door, we mistaken it as our own. Overall very good experience. Definitely will go back.",,3450,Agoda.com,1027,136,100
"KeSa House, The Unlimited Collection by Oakwood",4.5,128 reviews,#40 of 369 hotels in Singapore,Paid public parking nearby,"English, Chinese, Malay, Tamil","Share, ,Booked the room for convenience; shuttling to & from SGH while mom was hospitalised. Small but yet very cozy. Love the decor. Installing a bidet in the bathroom will be a great plus.  Loved the way the hotel provides empty glass bottles and refilling of water in the kitchen rather than supplying plastic bottled water in the rooms. Will definitely come back!,Truly a stand-out shophouse hotel the lively Keong Saik, with fantastic staff :-) The space felt extremely clean and fresh, loved the hotel’s colour scheme and the fragrance on each level too. The cosy standard room is well-designed with good storage, mood lighting and a smart layout. Beds were firm and comfortable. Thank you Salina, Kimberly and Nicole for the service and warm/friendly welcome and lovely birthday card/“cake” in celebration of my sister’s birthday! The housekeepers were lovely and helpful as well. Thanks KeSa!,The stay at the hotel was enjoyable, the hotel staffs were friendly and nice. Our room had a balcony which allowed star gazing at night. Overall, it was an awesome stay! Hotel staffs even prepared a card and flower petals for celebration.,Stayed for 3D2N with my hubby to experience our local boutique hotel.   Pros: - The lobby smell was heaven! - The receptionist Ms Sandy was a great help. I made the wrong booking but she was so efficient to help me rectify the problem quickly. - There's lift in the building, laundry, common kitchen (closed during Covid), smart tv in the room (no issue with connecting to tablet/phone). - Lots of cafe and restaurant around the premises, can explore great food there.  Cons: - Small bathing space (note: door couldn't closed fully so water will seep out). - Thin wall, literally could hear what my neighbours were busy doing :( ,Great location with lots of food options around the area. It being a shophouse and located amongst shophouses also gave a nolstagic experience that was very nice. Amenities and design of the room is great too!",,11794,Booking.com,648,97,100
Strand Hotel,3.5,607 reviews,#160 of 369 hotels in Singapore,Parking,"English, Chinese, Malay","Share, ,I booked this hotel “Strand Hotel Singapore” for 2D1N from 9-10 Aug 2021. I was highly disappointed that the Aircon was not working at all. I was first assigned room 312, then 404 then 313 where I was told by the reception that some renovation is going on and the Aircon is not working well these days. And they can only give me a room change of up to 2 times. In all 3 rooms, the Aircon was poor and I was sweating inside the room. (No fan inside). They did not offer a refund or a change of hotel as well. I have booked numerous hotels through Agoda and I’ve never had a problem like this before. This is really very disappointing that I am forced to stay in a room where the Aircon is spoilt and there is no other alternative given from the hotel. Please stay here at your own risk.,Stayed at Strand Hotel in late November 2020 for a friend's impromptu birthday ""staycation"". Booking of the hotel was done via Booking.com and the check-in process was painless.   Got the Family room so all 4 of us could be in 1 single room without the hassle of needing 2 separate rooms. The size of the room was good, fitting 2 x Queen size bed and 1 x fold-able bed.  The interior of the room is a little old and outdated, the carpet felt a little moldy to the feet, hence I wore the disposable bedroom slippers while I was in the room. Toilet is a little cramped, but functional - the provided bath towels, and toothbrush but there was no hand towels.  There was room service in the afternoon when I requested for an Ice bucket to be sent up to the room (which came in a Green plastic, soup bowl), but when we requested for more Ice to be sent up to the room around 10pm, we were told to come down to reception to check - ultimately, we went to 7-11 at Peace Centre to buy a bag of Ice.,…,Good location. Room is clean and has the basic amenities. Had breakfast at the Strand Cafe. Breakfast menu is very limited but the staff at Strand Cafe provided excellent service. Can tell that he really take pride in his work.,Stayed here for 1 night in late March in an effort to escape the noise of kids at home all day. Room was fairly small at 18sqm and was simple but clean and functional and in reasonable condition. Combined shower / bath, but with a very low shower head *(unless you're a dwarf perhasp). Soap dispensers for shower and basin. No hand towels provided. Queen size bed. Fridge and tv in room. Quite noisy from neighbours: thin walls meant sounds of talking and using the bathroom plus slamming doors. Staff were quite terse and abrupt. Ok value for money at $62 on Agoda, but one night was enough for me.,We never got to stay at this hotel as our cruise got halted early due to the virus. The reason I gave it 5 stars was got the quick response I got to my email telling them we would not be there. The refund was in my bank account in no time at all which I really appreciated as I couldn’t really remember my booking details, Thank you and we will try to book with you again in the near future","Mid-range,Family",4359,Booking.com,309,56,100
Aqueen Hotel Paya Lebar,4.0,343 reviews,#108 of 369 hotels in Singapore,Free parking,"English, Chinese, Malay","Share, ,I checked in my domestic helper at Aqueen Paya Lebar on 8 Jan 2022 for her to serve out her 7-day SHN or quarantine as required by Singapore authorities. I am disappointed at the service.   When I got to the reception, there were 3 (or 4) ladies. They knew I was there. There was no other guest checking in or checking out or making enquiries. It’s just me and my two domestic helpers standing in front of them but we were totally transparent to them.   They were not eager to greet me nor bother that we were there. In fact, it seemed that we were an intrusion to whatever they were doing. I got a bit angry so I asked them if they were going to check us in. Two of them looked annoyed at my question. Throughout the process not one of them smiled at all.   Are the days when the, hospitality sector prides itself with good service gone? One would expect that a guest walking into the hotel would be greeted with alacrity and a smile. But not Aqueen Paya Lebar. Guests were apparently an intrusion.   What annoys me more is whether we were treated this way because the guest is a domestic helper and she was on SHN? I hope not. A domestic helper is here to work and she is a paying guest. There’s no reason to treat her like she is entering a prison to serve her sentence.   And that’s not all. As I drove out of the car park, the IU scanner didn’t work. So the car park fee could not be automatically deducted from my cash card. That’s fine. It happens sometimes even at malls or other places. I thought I just needed to insert my cash card into the car park machine. Apparently Aqueen Paya Lebar’a car park is the most advanced in Singapore. It doesn’t  accept cash card. It has either to be some NETS card or a flash card.   I have been driving for 20 over years around Singapore and I’ve been using a cash card in my IU for the last umpteen years. And whenever the IU scanner failed to deduct the car park, all unneeded to do was to insert my cash card into the machine. But Aqueen Paya Lebar’s car park design is way ahead of the rest of Singapore, including 5-6-star hotels like Marina Bay Sands or Raffles Hotel and Ritz Carlton. These hotels still stuck using cash card apparently.   So I pressed the button on the car park machine for help. Unfortunately one of the earlier frowning face lady receptionists came back. She was obviously unhappy that she had to come to the hot car park entrance. Not a smile again. There’s no: “How can I help you? Sorry for the inconvenience.” It’s more like, “What the hell you press the button for?! Are you retard or something?!”   Anyway she took my card and tried to shove it into the bar code scanner. My gosh. She shoved a cash card into a bar code scanner! I’m totally baffled and bewildered. It’s a cash card that we insert into a slot which was clearly missing from the machine.   In the end she had no choice but to use her own card and let me out. Immediately after scanning her own card, she turned her back to me and walked off. There’s no “Thank you. Hope to see you again. Sorry for the inconvenience.” It’s clear she was saying, “Please don’t ever visit again. You owe us $2.00 for the car park, you cheapo.” Without a smile, she turned her back and walked off.   I thought perhaps I caught the concierge at a bad time. But no. Aqueen Paya Lebar’a hotel service continues to amaze me.   On the second day of my helper’s stay, I checked in on her. And I found out that even when the SHN guest puts the empty water bottles outside the room, the hotel housekeeping does not automatically send water up to the room.   So the guest is expected to live on two bottles of water provided by the hotel for 7 days. She has to live like a camel and try and store the water somewhere in her body and use it for the next 7 days in SHN.   Even a 2-star hotel will send up a bottle of water to their SHN guest everyday.   While many of us will probably buy some water from a convenience store in case the two free bottles are not enough but guests who are on quarantine or SHN are not supposed to leave their hotel room at any time at all. The hotel staff are very well aware of this restriction as any breaches by the guests could implicate the hotel. So how could she buy water when she has run out of it.   When I called the hotel and asked, I was told the SHN guest has to call and ask for water. What??? Placing the two empty bottles outside the hotel room door is not enough to tell you that she has no drinking water in her room? And knowing that she is on SHN is not enough to tell you that she couldn’t get any water in her own. She has to call? What? Is she expected to try and create drinking water in her room first, failing which she then calls you for water?  Come on Aqueen. The guest is on SHN and being a domestic helper, she is not your well-traveled guests from exotic countries. But remember this: she is a paying guest. She is not a free loafer.   If you only welcome certain types of guests to your hotel, you could have said so and I would have chosen another hotel for my domestic helper to serve out her SHN. Locked into a hotel room for 7 straight days is already very stressful for anyone. She doesn’t need this additional stress.   You are in the HOSPITALITY business.  Please show some hospitality, for goodness sake.,…,Convenient location, just 8 mins walk from the paya lebar mrt.  I love the hotel room that was given to me, it is a corner room and i have big part surround by window and views.  The room is clean and the bed is super soft and comfortable.   The fridge is not cold enough.  I couldn't adjust for hot water when i am showering. Turn here and there still cold water.   There is a convenient store, located beside the hotel, in the Shell Petrol Station, which sell a lot of things.,Booked a room on the day of. Hotel room was really lovely albeit small but comfortable! The tv doesn't have cable and the bed was a little uncomfortable but it was alright.   Our room had a balcony with chairs but for some reason it was locked and front desk confirmed that it was supposed to be locked.   Receptionist at check in was friendly and was patient with us when my friend could not find her ic for a minute and even suggested alternative ways such as using singpass app to check in.   Overall it was a pleasant stay with no complaints. ,Staff is very polite & professional, no need to followup requested service. I stayed there amidst COVID-19, I was really worried about precautions to avoid from get infected. But they had maintained good hygiene practices including temperature screening & sanitizers. Also enjoyed breakfast... its delicious with multiple choices.,Overall it great stay for me and my wife, we check in late midnight, fast response by the front desk name by shidah if i not wrong, small room but it fine for us to stay, the room was clean and tidy, thanks q so much Aqueen Hotel Paya Lebar, will come back again surely ","Business,Modern",6181,Agoda.com,68,5,73
Champion Hotel,4.0,497 reviews,#129 of 369 hotels in Singapore,Parking,"English, Chinese, Malay","Share, ,Nice And Simple Hotel, Near By Cafe and Shop Around, Nice Staff By The Front Desk.. So Far The Room Was Great, Sure Will Come Back Thumbs Up 5 🌟🌟🌟🌟🌟 Will Recommend To Other. Thanx Q Champions Hotel Keep Up Your Service..Guest Will Come Back For The Service,I actually enjoy my stay there over the weekend. The location is very good, walking distance to Payar Lebar MRT station, located right on the Joo Chiat St., directly opposite Fairprice Supermarket. The room was clean, except the toilet bowl wasn't clean thoroughly, there were pee stains on the sitting plate. The bed is firmed. The hairdryer in the room is not working, but I am able to borrow one from the reception. With the price I paid and with its location, it is really good place to stay to explore Joo Chiat/Katong.,Suite room for $109 SGD, no breakfast. Prepaid on Agoda. Some minor hassles at checkin with a request for a $50 cash deposit (nothing mentioned about this on the Agoda email, nor any option of taking a credit card pre-authorisation), but relented after some discussion. Located towards Geylang Serai end of Joo Chiat. Suite room was large and seemed recently renovated and was clean with a comfortable king size bed. But the room was on the corner on Joo Chiat with very poor sound insulation: bad traffic noise throughout the day and night. Minor points were poor quality towels, no hand towels provided and no hand soap. 2 small bottles of mineral water provided and a small fridge. Free WiFi worked fine for Netflix.,It was a nice and clean hotel in 10-15 minute taxi from the airport. Shopping center, market, restaurants are located nearby. We are satisfied with one night stay for transit.  シンガポールでの乗り継ぎ時に利用。空港からもタクシーですぐ、近くにショッピングセンター、市場、たくさんのレストランがあります。部屋も十分な広さ、設備と清潔さでした。,I stayed there with my 2 big kids.  Hotels in Singapore are very expensive. So I would say this hotel was (about $25 GRAB ride to the airport and $18 from Clarke Quay by GRAB ) reasonable to stay in triple beds in a bedroom for $125 per night. No window, no fancy facilities or anything but that is what u pay for.... the front desk guy was nice gave me a fluffy doona when I asked for an extra pillow to sleep with.(they don’t have any extra pillow in stock) 7-11 and some kind of Malaysia type of food stalls were in vicinity. We arrived nearly 9pm to just to sleep before the early morning flight..... we bought lots of food @ 7-11’s though none of them were good. Ham lettuce and chees sandwich was not atable,teriyaki chicken mayo onigiri (rice ball covered by seaweed) was looked, like tuna and did not taste like it supposed to be. Just be careful.,…","Value,Quiet",,,99,14,89
